case,context,repeat,skill,source,chat_quote,jev_fast_quote,chat_supports_skill,jev_fast_supports_skill,reviewer,notes
"decision-future_reference-absent","alone","2","referent","La novela se titula El futuro, pero la leí el año pasado.","","La novela","","","",""
"decision-future_reference-absent","alone","2","property","La novela se titula El futuro, pero la leí el año pasado.","La novela se titula El futuro","se titula El futuro","","","",""
"decision-future_reference-absent","alone","2","event_roles","La novela se titula El futuro, pero la leí el año pasado.","","la leí","","","",""
"decision-future_reference-absent","alone","2","past_reference","La novela se titula El futuro, pero la leí el año pasado.","el año pasado","el año pasado","","","",""
"decision-future_reference-absent","alone","2","event_phase","La novela se titula El futuro, pero la leí el año pasado.","","leí","","","",""
"decision-future_reference-absent","alone","2","past_sequence","La novela se titula El futuro, pero la leí el año pasado.","La novela se titula El futuro, pero la leí el año pasado.","","","","",""
"decision-future_reference-source","before","2","future_reference","The train will arrive tomorrow.","The train will arrive tomorrow.","","","","",""
"decision-comparison-full-a","alone","2","property","A diferencia del piso de Luis, el mío recibe sol por la tarde.","el mío recibe sol por la tarde","","","","",""
"decision-comparison-full-a","alone","2","comparison","A diferencia del piso de Luis, el mío recibe sol por la tarde.","A diferencia del piso de Luis, el mío recibe sol por la tarde","","","","",""
"decision-comparison-full-a","alone","2","possession","A diferencia del piso de Luis, el mío recibe sol por la tarde.","el mío","","","","",""
"decision-comparison-full-a","alone","2","past_reference","A diferencia del piso de Luis, el mío recibe sol por la tarde.","por la tarde","","","","",""
"decision-comparison-full-b","alone","2","quantity","Los dos caminos tardan lo mismo: veinte minutos.","Los dos caminos tardan lo mismo: veinte minutos.","","","","",""
"decision-comparison-full-b","alone","2","comparison","Los dos caminos tardan lo mismo: veinte minutos.","Los dos caminos tardan lo mismo: veinte minutos.","","","","",""
"decision-comparison-partial","alone","2","comparison","Frente al otro candidato, Elena es mucho más...","Frente al otro candidato, Elena es mucho más...","","","","",""
"decision-comparison-partial","alone","2","degree","Frente al otro candidato, Elena es mucho más...","mucho más...","","","","",""
"decision-comparison-absent","alone","2","property","El edificio tiene más de cien ventanas.","tiene más de cien ventanas","","","","",""
"decision-comparison-absent","alone","2","quantity","El edificio tiene más de cien ventanas.","más de cien ventanas","","","","",""
"decision-comparison-absent","alone","2","location","El edificio tiene más de cien ventanas.","El edificio","","","","",""
"decision-comparison-source","before","2","property","Hay una etiqueta amarilla.","amarilla","una etiqueta amarilla","","","",""
"decision-comparison-source","before","2","referent","Hay una etiqueta amarilla.","una etiqueta","","","","",""
"decision-comparison-source","before","2","quantity","Hay una etiqueta amarilla.","una","","","","",""
"decision-comparison-source","before","2","location","Hay una etiqueta amarilla.","Hay","","","","",""
"decision-reason-full-a","alone","2","motion","Como no quedaban asientos, hicimos el viaje de pie.","hicimos el viaje de pie","","","","",""
"decision-reason-full-a","alone","2","past_reference","Como no quedaban asientos, hicimos el viaje de pie.","Como no quedaban asientos, hicimos el viaje de pie","","","","",""
"decision-reason-full-a","alone","2","negation","Como no quedaban asientos, hicimos el viaje de pie.","no quedaban","","","","",""
"decision-reason-full-a","alone","2","property","Como no quedaban asientos, hicimos el viaje de pie.","asientos","","","","",""
"decision-reason-full-b","alone","2","possession","Llevé una linterna para encontrar la llave en la oscuridad.","Llevé una linterna para encontrar la llave","","","","",""
"decision-reason-full-b","alone","2","past_reference","Llevé una linterna para encontrar la llave en la oscuridad.","Llevé","","","","",""
"decision-reason-full-b","alone","2","reason","Llevé una linterna para encontrar la llave en la oscuridad.","Llevé una linterna para encontrar la llave en la oscuridad.","","","","",""
"decision-reason-full-b","alone","2","location","Llevé una linterna para encontrar la llave en la oscuridad.","en la oscuridad","","","","",""
"decision-reason-partial","alone","2","negation","No pude entrar. La razón fue que...","No pude entrar","","","","",""
"decision-reason-partial","alone","2","reason","No pude entrar. La razón fue que...","La razón fue que...","","","","",""
"decision-reason-absent","alone","2","past_reference","Primero cerré la ventana y después sonó el teléfono.","cerré","","","","",""
"decision-reason-absent","alone","2","past_sequence","Primero cerré la ventana y después sonó el teléfono.","Primero cerré la ventana y después sonó el teléfono","","","","",""
"decision-condition-full-a","alone","2","condition","Solo te presto el coche con la condición de que vuelvas antes de las seis.","con la condición de que vuelvas antes de las seis","","","","",""
"decision-condition-full-a","alone","2","transfer","Solo te presto el coche con la condición de que vuelvas antes de las seis.","Solo te presto el coche","","","","",""
"decision-condition-full-a","alone","2","property","Solo te presto el coche con la condición de que vuelvas antes de las seis.","antes de las seis","","","","",""
"decision-condition-full-a","alone","2","modality","Solo te presto el coche con la condición de que vuelvas antes de las seis.","presto","","","","",""
"decision-condition-full-b","alone","2","condition","A menos que cambie el tiempo, saldremos a caminar.","A menos que cambie el tiempo","","","","",""
"decision-condition-full-b","alone","2","future_reference","A menos que cambie el tiempo, saldremos a caminar.","saldremos a caminar","","","","",""
"decision-condition-full-b","alone","2","negation","A menos que cambie el tiempo, saldremos a caminar.","A menos que","","","","",""
"decision-condition-partial","alone","2","condition","Podemos empezar, siempre y cuando...","siempre y cuando","","","","",""
"decision-condition-absent","alone","2","property","El paquete está en buenas condiciones.","buenas condiciones","El paquete está en buenas condiciones","","","",""
"decision-condition-absent","alone","2","location","El paquete está en buenas condiciones.","El paquete está en buenas condiciones.","","","","",""
"decision-condition-source","before","2","property","La caja tiene una pegatina.","tiene una pegatina","","","","",""
"decision-condition-source","before","2","possession","La caja tiene una pegatina.","La caja tiene una pegatina","","","","",""
"decision-condition-source","before","2","referent","La caja tiene una pegatina.","La caja","","","","",""
"decision-negation_scope-full-a","alone","2","negation_scope","No todos los alumnos aprobaron: algunos sí y otros no.","No todos los alumnos aprobaron","","","","",""
"decision-negation_scope-full-a","alone","2","quantify_sets","No todos los alumnos aprobaron: algunos sí y otros no.","algunos sí y otros no","","","","",""
"decision-negation_scope-full-b","alone","2","negation","No dije que nadie viniera; dije que no vinieron todos.","No dije","","","","",""
"decision-negation_scope-full-b","alone","2","negation_scope","No dije que nadie viniera; dije que no vinieron todos.","no vinieron todos","","","","",""
"decision-negation_scope-full-b","alone","2","reported_content","No dije que nadie viniera; dije que no vinieron todos.","dije que no vinieron todos","","","","",""
"decision-negation_scope-partial","alone","2","negation_scope","No todos los...","No todos los","","","","",""
"decision-negation_scope-absent","alone","2","negation","No hay leche.","No","No hay leche","","","",""
"decision-negation_scope-absent","alone","2","property","No hay leche.","leche","","","","",""
"decision-negation_scope-source","before","2","property","Veo letras verdes.","letras verdes","letras verdes","","","",""
"decision-negation_scope-source","before","2","quantity","Veo letras verdes.","letras","","","","",""
"decision-transfer-full-a","alone","2","transfer","La bibliotecaria me entregó el libro que había reservado.","entregó el libro","","","","",""
"decision-transfer-full-a","alone","2","past_reference","La bibliotecaria me entregó el libro que había reservado.","entregó","","","","",""
"decision-transfer-full-a","alone","2","referent","La bibliotecaria me entregó el libro que había reservado.","el libro que había reservado","","","","",""
"decision-transfer-full-a","alone","2","possession","La bibliotecaria me entregó el libro que había reservado.","que había reservado","","","","",""
"decision-transfer-full-b","alone","2","transfer","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-full-b","alone","2","motion","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-full-b","alone","2","possession","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-full-b","alone","2","event_roles","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-partial","alone","2","event_roles","Le entregué el...","Le entregué","Le entregué el","","","",""
"decision-transfer-partial","alone","2","transfer","Le entregué el...","Le entregué","Le entregué el","","","",""
"decision-transfer-partial","alone","2","past_reference","Le entregué el...","entregué","entregué","","","",""
"decision-transfer-partial","alone","2","event_phase","Le entregué el...","","entregué","","","",""
"decision-transfer-absent","alone","2","location","El regalo está encima del armario.","encima del armario","","","","",""
"decision-transfer-absent","alone","2","property","El regalo está encima del armario.","El regalo está","","","","",""
"decision-transfer-source","before","2","past_reference","She gave him the keys.","gave","","","","",""
"decision-transfer-source","before","2","transfer","She gave him the keys.","gave him the keys","","","","",""
"decision-transfer-source","before","2","event_roles","She gave him the keys.","She gave him the keys","","","","",""
"decision-transfer-source","before","2","property","She gave him the keys.","keys","","","","",""
"decision-concession-full-a","alone","2","causation","A pesar del ruido, pude terminar el trabajo.","A pesar del ruido, pude terminar el trabajo.","","","","",""
"decision-concession-full-a","alone","2","past_reference","A pesar del ruido, pude terminar el trabajo.","pude terminar el trabajo.","","","","",""
"decision-concession-full-a","alone","2","property","A pesar del ruido, pude terminar el trabajo.","pude terminar el trabajo.","","","","",""
"decision-concession-full-b","alone","2","past_reference","Estaba agotado; aun así, acompañó a su amiga al hospital.","Estaba","","","","",""
"decision-concession-full-b","alone","2","concession","Estaba agotado; aun así, acompañó a su amiga al hospital.","aun así","","","","",""
"decision-concession-full-b","alone","2","event_roles","Estaba agotado; aun así, acompañó a su amiga al hospital.","acompañó a su amiga","","","","",""
"decision-concession-full-b","alone","2","motion","Estaba agotado; aun así, acompañó a su amiga al hospital.","acompañó a su amiga al hospital","","","","",""
"decision-concession-partial","alone","2","negation","Aunque hacía mucho frío...","Aunque hacía mucho frío...","","","","",""
"decision-concession-absent","alone","2","past_reference","Me fui a casa porque estaba agotado.","Me fui","","","","",""
"decision-concession-absent","alone","2","reason","Me fui a casa porque estaba agotado.","Me fui a casa porque estaba agotado","","","","",""
"decision-concession-absent","alone","2","property","Me fui a casa porque estaba agotado.","estaba agotado","","","","",""
"decision-concession-absent","alone","2","location","Me fui a casa porque estaba agotado.","a casa","","","","",""
"decision-concession-source","before","2","property","La pantalla es rectangular.","La pantalla es rectangular","es rectangular","","","",""
"decision-concession-source","before","2","location","La pantalla es rectangular.","La pantalla es rectangular","","","","",""
"decision-reported_content-full-a","alone","2","reported_content","Según la médica, la fiebre debería bajar esta noche.","Según la médica","","","","",""
"decision-reported_content-full-a","alone","2","property","Según la médica, la fiebre debería bajar esta noche.","la fiebre debería bajar","","","","",""
"decision-reported_content-full-a","alone","2","modality","Según la médica, la fiebre debería bajar esta noche.","debería bajar","","","","",""
"decision-reported_content-full-a","alone","2","future_reference","Según la médica, la fiebre debería bajar esta noche.","bajar esta noche","","","","",""
"decision-reported_content-full-b","alone","2","possession","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","Mi hermano","","","","",""
"decision-reported_content-full-b","alone","2","reported_content","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","cree que el taller abre los domingos","","","","",""
"decision-reported_content-full-b","alone","2","negation","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","yo no estoy seguro","","","","",""
"decision-reported_content-full-b","alone","2","concession","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","pero yo no estoy seguro","","","","",""
"decision-reported_content-partial","alone","2","event_roles","La directora nos explicó que...","","La directora nos explicó","","","",""
"decision-reported_content-partial","alone","2","past_reference","La directora nos explicó que...","","explicó","","","",""
"decision-reported_content-partial","alone","2","reported_content","La directora nos explicó que...","La directora nos explicó que...","explicó que...","","","",""
"decision-reported_content-partial","alone","2","nested_report","La directora nos explicó que...","","explicó que...","","","",""
"decision-reported_content-absent","alone","2","referent","La directora lleva una carpeta roja.","","La directora","","","",""
"decision-reported_content-absent","alone","2","quantity","La directora lleva una carpeta roja.","","una carpeta","","","",""
"decision-reported_content-absent","alone","2","possession","La directora lleva una carpeta roja.","La directora lleva una carpeta roja","La directora lleva una carpeta","","","",""
"decision-reported_content-absent","alone","2","property","La directora lleva una carpeta roja.","una carpeta roja","roja","","","",""
"decision-reported_content-absent","alone","2","event_roles","La directora lleva una carpeta roja.","","La directora lleva una carpeta","","","",""
"decision-reported_content-absent","alone","2","event_phase","La directora lleva una carpeta roja.","","lleva","","","",""
"decision-reported_content-source","before","2","reported_content","The doctor says I need rest.","The doctor says I need rest.","","","","",""
"decision-reported_content-source","before","2","property","The doctor says I need rest.","I need rest.","","","","",""
"decision-reported_content-source","before","2","reason","The doctor says I need rest.","The doctor says I need rest.","","","","",""
"decision-modality-full-a","alone","2","modality","No hace falta que traigas comida; ya hemos preparado bastante.","No hace falta","","","","",""
"decision-modality-full-a","alone","2","negation","No hace falta que traigas comida; ya hemos preparado bastante.","No","","","","",""
"decision-modality-full-a","alone","2","quantity","No hace falta que traigas comida; ya hemos preparado bastante.","bastante","","","","",""
"decision-modality-full-a","alone","2","reason","No hace falta que traigas comida; ya hemos preparado bastante.","ya hemos preparado bastante","","","","",""
"decision-modality-full-b","alone","2","modality","Quizá el camino esté cerrado por la nieve.","Quizá","","","","",""
"decision-modality-full-b","alone","2","property","Quizá el camino esté cerrado por la nieve.","el camino esté cerrado","","","","",""
"decision-modality-full-b","alone","2","condition","Quizá el camino esté cerrado por la nieve.","por la nieve","","","","",""
"decision-modality-full-b","alone","2","negation","Quizá el camino esté cerrado por la nieve.","cerrado","","","","",""
"decision-modality-partial","alone","2","property","Yo pue... salir.","salir","","","","",""
"decision-modality-absent","alone","2","location","El cartel contiene la palabra permiso.","El cartel contiene","","","","",""
"decision-modality-source","before","2","property","The entrance is blue.","The entrance is blue.","The entrance is blue","","","",""
"decision-modality-source","before","2","location","The entrance is blue.","The entrance is blue.","","","","",""
"decision-past_sequence-full-a","alone","2","past_reference","Cuando llegué a la estación, el último tren ya había salido.","Cuando llegué","","","","",""
"decision-past_sequence-full-a","alone","2","past_sequence","Cuando llegué a la estación, el último tren ya había salido.","el último tren ya había salido","","","","",""
"decision-past_sequence-full-b","alone","2","past_sequence","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","","","","",""
"decision-past_sequence-full-b","alone","2","past_reference","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","","","","",""
"decision-past_sequence-full-b","alone","2","event_roles","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","","","","",""
"decision-past_sequence-partial","alone","2","past_reference","Después de haber terminado...","Después de haber terminado","","","","",""
"decision-past_sequence-absent","alone","2","past_reference","Ayer fuimos al parque.","Ayer","","","","",""
"decision-past_sequence-absent","alone","2","motion","Ayer fuimos al parque.","fuimos al parque","","","","",""
"decision-past_sequence-absent","alone","2","event_roles","Ayer fuimos al parque.","fuimos","","","","",""
"decision-past_sequence-source","before","2","quantity","Las cifras son grandes.","grandes","Las cifras son grandes","","","",""
"decision-past_sequence-source","before","2","property","Las cifras son grandes.","Las cifras son grandes","Las cifras son grandes","","","",""
"decision-past_sequence-source","before","2","degree","Las cifras son grandes.","","grandes","","","",""
